[W socket.cpp:464] [c10d] The server socket cannot be initialized on [::]:29500 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:697] [c10d] The client socket cannot be initialized to connect to [::ffff:127.0.0.1]:29500 (errno: 97 - Address family not supported by protocol).
Downloading https://www.chrsmrrs.com/graphkerneldatasets/ENZYMES.zip
Processing...
Done!
wandb: Currently logged in as: shokuno (shokuno-the-university-of-tokyo). Use `wandb login --relogin` to force relogin
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory.
wandb: WARNING Path runs/wandb/ wasn't writable, using system temp directory
wandb: Tracking run with wandb version 0.17.9
wandb: Run data is saved locally in /tmp/wandb/run-20250608_230120-k4jwkp1s
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run enzymes-ddp
wandb: ⭐️ View project at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae
wandb: 🚀 View run at https://wandb.ai/shokuno-the-university-of-tokyo/graphvae/runs/k4jwkp1s
Ep 000 | train 1.2838 | val 1.6531
Ep 094 | train 0.6729 | val 0.7682
Ep 095 | train 0.6955 | val 1.0215
Ep 096 | train 0.6523 | val 0.7800
Ep 097 | train 0.6652 | val 0.7616
Ep 098 | train 0.6583 | val 0.7837
Ep 099 | train 0.6516 | val 0.7386
Ep 100 | train 0.6592 | val 0.7912
Ep 101 | train 0.6121 | val 0.7988
Ep 102 | train 0.6591 | val 0.8587
Ep 103 | train 0.6516 | val 0.8499
Ep 104 | train 0.6404 | val 0.7456
Ep 105 | train 0.6582 | val 0.8370
Ep 106 | train 0.6412 | val 0.7393
Ep 107 | train 0.6312 | val 0.7978
Ep 108 | train 0.6452 | val 0.7255
Ep 109 | train 0.6412 | val 0.7693
Ep 110 | train 0.6626 | val 1.0730
Ep 111 | train 0.6396 | val 0.8963
Ep 112 | train 0.6707 | val 1.3188
Ep 113 | train 0.6349 | val 0.7837
Ep 114 | train 0.6228 | val 0.7164
Ep 115 | train 0.6247 | val 0.8345
Ep 116 | train 0.6299 | val 0.7322
Ep 117 | train 0.6458 | val 0.8727
Ep 118 | train 0.6395 | val 1.0896
Ep 119 | train 0.6261 | val 0.8083
Ep 120 | train 0.6261 | val 0.7299
Ep 121 | train 0.6564 | val 0.9385
Ep 122 | train 0.6372 | val 1.1625
Ep 123 | train 0.6124 | val 0.9246
Ep 124 | train 0.6217 | val 0.7323
Ep 125 | train 0.6214 | val 0.9433
Ep 126 | train 0.6441 | val 1.4202
Ep 127 | train 0.6445 | val 0.8797
Ep 128 | train 0.6411 | val 1.0091
Ep 129 | train 0.6449 | val 0.8116
Ep 130 | train 0.6223 | val 0.8888
Ep 131 | train 0.6153 | val 0.8502
Ep 132 | train 0.6645 | val 0.8383
Ep 133 | train 0.6464 | val 1.2174
Ep 134 | train 0.6377 | val 0.9079
Ep 135 | train 0.6405 | val 1.0489
Ep 136 | train 0.6520 | val 1.0708
Ep 137 | train 0.6689 | val 1.5114
Ep 138 | train 0.6064 | val 0.8799
Ep 139 | train 0.6445 | val 0.8925
Ep 140 | train 0.6416 | val 0.8098
Ep 141 | train 0.6206 | val 0.7392
Ep 142 | train 0.6178 | val 0.7703
Ep 143 | train 0.6509 | val 0.8141
Ep 144 | train 0.6280 | val 0.7412
Ep 145 | train 0.6288 | val 0.9887
Ep 146 | train 0.6119 | val 0.8560
Ep 147 | train 0.6371 | val 0.8896
Ep 148 | train 0.6272 | val 0.7798
Ep 149 | train 0.6302 | val 0.9282
Ep 150 | train 0.6575 | val 1.1226
Ep 151 | train 0.6331 | val 1.3905
Ep 152 | train 0.6407 | val 0.9937
Ep 153 | train 0.6260 | val 0.8895
Ep 154 | train 0.6281 | val 1.0687
Ep 155 | train 0.6613 | val 0.9444
Ep 156 | train 0.6695 | val 0.8103
Ep 157 | train 0.6348 | val 0.8046
